PROVIDER_ID,report_indicator,Patient_Experience_cnt,Outcomes_Readmission_cnt,Outcomes_Mortality_cnt,Outcomes_Safety_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,cnt_grp,summary_score,star
050295,1,8,7,6,8,9,5,2,3) # of groups=5,0.0647444849304797,4.0
050298,1,8,4,2,4,7,4,1,2) # of groups=4,-0.0691034604343508,3.0
050300,1,8,8,6,7,8,5,2,3) # of groups=5,-0.6380391948196672,1.0
050301,1,8,9,4,5,11,5,2,3) # of groups=5,0.5468845279906351,5.0
050305,1,8,9,6,6,10,5,2,3) # of groups=5,0.4269070081900779,5.0
050308,1,8,11,7,8,9,5,2,3) # of groups=5,0.2478916976195996,4.0
050309,1,8,10,6,8,7,5,2,3) # of groups=5,0.0547174839406019,3.0
05030F,1,8,4,5,3,5,5,2,3) # of groups=5,0.8122209878289136,5.0
050313,1,8,6,3,5,12,5,2,3) # of groups=5,0.4913653903604433,5.0
050315,1,8,7,2,8,9,4,1,2) # of groups=4,-0.6547064585265148,1.0
05031F,1,8,6,5,4,6,5,2,3) # of groups=5,0.501730379398044,5.0
050320,1,8,9,6,6,10,5,2,3) # of groups=5,-0.6303202498936502,2.0
050324,1,8,9,7,8,8,5,2,3) # of groups=5,0.4983563653019632,5.0
050327,1,8,11,7,8,8,5,2,3) # of groups=5,-0.2849542994634332,2.0
050329,1,8,5,5,5,9,5,2,3) # of groups=5,-0.0512976581521756,3.0
050334,1,8,10,7,6,9,5,2,3) # of groups=5,0.5359017833292634,5.0
050335,1,8,10,6,5,11,5,2,3) # of groups=5,-0.4077920468946603,2.0
050336,1,8,6,5,6,10,5,2,3) # of groups=5,0.0003998956113289,3.0
050342,1,8,9,4,4,9,5,2,3) # of groups=5,-0.0100531127580215,3.0
050348,1,8,11,6,8,11,5,2,3) # of groups=5,0.2295828428941758,4.0
050350,1,8,4,4,5,9,5,2,3) # of groups=5,-0.5821300591539551,2.0
050351,1,8,11,7,8,10,5,2,3) # of groups=5,0.5051668261536838,5.0
050352,1,8,5,2,4,9,4,1,2) # of groups=4,-0.0454942331573088,3.0
050353,1,8,8,6,8,10,5,2,3) # of groups=5,0.4889382448989746,5.0
050357,1,8,5,1,3,6,4,1,2) # of groups=4,0.8738199148807788,5.0
050360,1,8,11,7,7,11,5,2,3) # of groups=5,0.522415120403063,5.0
050367,1,8,11,7,7,9,5,2,3) # of groups=5,0.0186449483658482,3.0
050373,1,8,6,6,7,9,5,2,3) # of groups=5,-0.6074792026528029,2.0
050376,1,8,6,6,6,9,5,2,3) # of groups=5,-0.8431731420959933,1.0
050378,1,8,1,0,4,6,3,1,1) # of groups=3,-2.5774992262822947,nan
050380,1,8,9,7,7,8,5,2,3) # of groups=5,-0.1270428132306028,3.0
050382,1,8,9,7,7,10,5,2,3) # of groups=5,-0.5190354696685814,2.0
050390,1,8,5,3,6,8,5,2,3) # of groups=5,-0.4550666146475096,2.0
050393,1,8,6,4,7,7,5,2,3) # of groups=5,-0.0770800464284392,3.0
050394,1,8,11,7,7,10,5,2,3) # of groups=5,0.0163726334065736,3.0
050396,1,8,11,7,8,9,5,2,3) # of groups=5,0.3901844686976637,4.0
050407,1,8,8,3,2,8,4,1,2) # of groups=4,0.3139780386960195,4.0
050411,1,8,1,0,6,4,3,1,1) # of groups=3,0.1653437951006305,4.0
050414,1,8,7,6,7,8,5,2,3) # of groups=5,-0.4453030975019588,2.0
050417,1,8,9,4,4,7,5,2,3) # of groups=5,-0.4422987405049317,2.0
050423,0,0,2,0,1,7,1,0,,-0.6901231769084986,N/A
050424,1,8,6,4,7,5,5,2,3) # of groups=5,0.8033197354227419,5.0
050425,1,8,3,3,7,3,5,2,3) # of groups=5,-0.6301969496014838,2.0
050426,1,8,5,5,5,7,5,2,3) # of groups=5,-0.0509981324535552,3.0
050438,1,8,9,7,8,9,5,2,3) # of groups=5,-0.1416836740738314,3.0
050441,1,8,11,7,8,9,5,2,3) # of groups=5,0.7441028542527605,5.0
050444,1,8,10,6,7,8,5,2,3) # of groups=5,-0.0540193987994325,3.0
050454,1,8,11,7,8,10,5,2,3) # of groups=5,0.570762453101254,5.0
050455,1,8,10,6,7,11,5,2,3) # of groups=5,-0.3185244921967215,2.0
050457,1,8,10,6,6,8,5,2,3) # of groups=5,0.003641255275153,3.0
050464,1,8,8,7,6,9,5,2,3) # of groups=5,-0.5711384718708846,2.0
050468,1,8,4,4,5,7,5,2,3) # of groups=5,-0.7894843878043123,1.0
050471,1,8,9,7,7,10,5,2,3) # of groups=5,-0.3907886666831202,2.0
050481,1,8,8,7,7,6,5,2,3) # of groups=5,-0.6991355090044316,1.0
050485,1,8,11,7,8,8,5,2,3) # of groups=5,-0.4669895692650621,2.0
050488,1,8,7,6,7,8,5,2,3) # of groups=5,0.4129277497908757,5.0
050492,1,8,10,6,7,8,5,2,3) # of groups=5,-0.4106799219163254,2.0
050496,1,8,11,7,7,8,5,2,3) # of groups=5,0.4694753999952795,5.0
050498,1,8,9,4,5,8,5,2,3) # of groups=5,0.6658372668237343,5.0
050503,1,8,8,6,7,11,5,2,3) # of groups=5,0.4356677372774776,5.0
050506,1,8,7,5,7,8,5,2,3) # of groups=5,-0.047485338090501,3.0
050510,1,8,1,0,5,3,3,1,1) # of groups=3,0.2614766342711399,4.0
050512,1,8,1,0,6,3,3,1,1) # of groups=3,-0.2088952651688129,3.0
050515,1,8,2,0,6,4,3,1,1) # of groups=3,0.4222723668596545,4.0
050516,1,8,11,7,8,9,5,2,3) # of groups=5,-0.084770373214469,3.0
050517,1,8,6,2,5,7,4,1,2) # of groups=4,-0.6207253937864352,1.0
050523,1,8,7,6,5,9,5,2,3) # of groups=5,-0.0252762072035653,3.0
050526,0,8,3,2,2,6,3,0,1) # of groups=3,-0.5591446082449879,N/A
050528,0,8,4,2,2,9,3,0,1) # of groups=3,0.0369771657591806,N/A
050534,1,8,5,4,4,9,5,2,3) # of groups=5,-0.0527060788986557,3.0
050537,1,8,8,3,3,10,5,2,3) # of groups=5,0.6036711420006515,5.0
050541,1,8,1,1,6,4,3,1,1) # of groups=3,0.2053709909071375,4.0
050543,0,0,0,0,1,3,1,0,,1.090978393865468,N/A
