PROVIDER_ID,total_cnt,measure_wt,score_before_std,Mean,StdDev,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score
151334,3,0.3333333333333333,0.1006194440653526,-0.0683912357439267,0.7043713990035915,0.2399454038712574,0.0778122163324908,,,-0.2781816705048565
160001,2,0.5,-0.764195739829697,-0.0683912357439267,0.7043713990035915,-0.9878375315494924,0.9941779199943102,-0.0328630015852021,0.4136511968471745,0.5470285400877154
160005,3,0.3333333333333333,-1.6481913428195496,-0.0683912357439267,0.7043713990035915,-2.24285101483453,0.9263882921747936,-0.0079600614860535,1.239161792069323,-0.079053885332431
160013,2,0.5,0.3804578564323467,-0.0683912357439267,0.7043713990035915,0.6372335571989698,-0.1866214175174946,-0.4568266913717578,-0.306624973959515,0.5387996180551372
160016,5,0.2,-0.9098458434949028,-0.0683912357439267,0.7043713990035915,-1.194617795301319,0.7303526754507087,-0.4453546227375622,0.2636502962730428,-0.7617986215682581
160028,4,0.25,-0.0710594347827251,-0.0683912357439267,0.7043713990035915,-0.0037880570428794,0.1070758676012254,-0.2505810470289226,0.1362671762096386,0.743441072952075
160029,6,0.1666666666666666,0.1532466197794555,-0.0683912357439267,0.7043713990035915,0.3146604984769579,-0.120869780588919,-0.4188873805352683,,-0.0513039202355733
160030,6,0.1666666666666666,-0.1133283612399328,-0.0683912357439267,0.7043713990035915,-0.0637974874612661,1.10939639825266,-0.338393123092037,0.7328636889686236,0.567757649821719
160032,2,0.5,0.0844652982018793,-0.0683912357439267,0.7043713990035915,0.2170112729762138,1.7122650832822282,0.2556212888915212,0.4112025905556686,0.8316444446962598
160033,7,0.1428571428571428,-0.1571694386401505,-0.0683912357439267,0.7043713990035915,-0.1260389093336414,-0.5950418037027971,0.1276453516296166,-0.5112973430930446,0.200952425197358
16003F,3,0.3333333333333333,-0.5435072861279905,-0.0683912357439267,0.7043713990035915,-0.6745249041289385,1.0450040175053148,0.7055169151934716,1.2361079176497185,0.1723422288539312
160040,1,1.0,0.3656250800858359,-0.0683912357439267,0.7043713990035915,0.6161753819699735,0.6468990873842976,0.2388931041368314,1.0866571456706609,1.0515363029376488
160045,7,0.1428571428571428,-0.0680740063892484,-0.0683912357439267,0.7043713990035915,0.0004503722824734,0.6102903075717449,0.3195406376458353,0.5075506872612099,0.0689126327239398
160047,6,0.1666666666666666,-0.5944638190215175,-0.0683912357439267,0.7043713990035915,-0.7468681778132624,-0.449436835999471,-0.1652906994640401,1.3547385197766415,0.2517479162357967
16004F,4,0.25,0.8929112738212177,-0.0683912357439267,0.7043713990035915,1.3647665293125324,1.0386169831145289,0.0338382081604074,1.6778086039670317,-0.7783291601130601
160057,6,0.1666666666666666,-0.0920042043445504,-0.0683912357439267,0.7043713990035915,-0.0335234630963535,0.6350589957677097,-0.2501148102475249,-0.5104175300874207,1.1490991050990933
160058,7,0.1428571428571428,0.3697687752929465,-0.0683912357439267,0.7043713990035915,0.6220582091446322,-0.6485570361664801,-0.0025117726391733,-0.2815034476242573,-0.0588249702776088
160064,7,0.1428571428571428,-0.3003412716559429,-0.0683912357439267,0.7043713990035915,-0.3293007584353002,-0.2673922184865906,0.4928202123870353,-0.105810196894927,-0.340079175174875
160067,5,0.2,-0.7462922545975642,-0.0683912357439267,0.7043713990035915,-0.9624198538052524,1.3360082212853868,0.5708581507024082,-0.5785639401344369,0.3276255410849958
160069,7,0.1428571428571428,0.1044389809645604,-0.0683912357439267,0.7043713990035915,0.2453680216899407,1.2687090793435796,0.9519777774139784,0.9369678959427452,-0.4833154764528394
160079,7,0.1428571428571428,-0.4551024062853305,-0.0683912357439267,0.7043713990035915,-0.5490160036146386,0.6056789065477217,-0.1440362419491493,0.430669792842046,0.2725422810747732
160080,5,0.2,-1.1876951560432607,-0.0683912357439267,0.7043713990035915,-1.5890820125330314,0.1871163461677611,0.693750318316012,0.615563308842982,-0.2144391422804202
160082,7,0.1428571428571428,-0.7870020984670622,-0.0683912357439267,0.7043713990035915,-1.0202158459864883,1.0677797152865365,-0.292784114912698,-0.4351054289541387,-0.7225733622088386
160083,7,0.1428571428571428,-0.6326479943377586,-0.0683912357439267,0.7043713990035915,-0.801078464276138,0.9373435288164528,0.3202248940347416,-0.8026854779900104,-0.1810437105512552
160089,5,0.2,0.0561155880068646,-0.0683912357439267,0.7043713990035915,0.1767630314446604,0.3406544305477529,0.2470964966551457,-1.424403517084253,-0.4572268635529961
160101,0,,,-0.0683912357439267,0.7043713990035915,,-0.7046562984407251,0.1093843434727283,0.0218819123541605,-0.2889008864556011
160104,5,0.2,-0.7494391611557598,-0.0683912357439267,0.7043713990035915,-0.9668875345808308,0.3278270762246845,0.2559813575614797,-0.2354821157413907,-0.3412223113418804
160110,7,0.1428571428571428,-0.4850675988656707,-0.0683912357439267,0.7043713990035915,-0.5915577544902835,0.3074791924094707,0.3748041069830471,0.2856999146243625,0.6493717573856821
160112,4,0.25,0.3239487273869749,-0.0683912357439267,0.7043713990035915,0.5570072318181976,0.5173214281849661,0.0139128812810041,0.9375360581021532,0.351220373201159
160117,5,0.2,0.4980847256190467,-0.0683912357439267,0.7043713990035915,0.8042290788131291,0.5536059749578659,0.6120531168538554,0.5687562928751123,1.0649765970499163
160124,3,0.3333333333333333,0.0885167364018379,-0.0683912357439267,0.7043713990035915,0.2227631223637526,-1.0752214798364736,-1.7122049778079709,1.6507099296949306,0.8539960935914378
160146,6,0.1666666666666666,-1.2121432451564724,-0.0683912357439267,0.7043713990035915,-1.623791100874489,0.960861918819829,-0.5209046597208848,-1.3281391325308711,-0.0959951851408186
160147,4,0.25,-0.6162835878665993,-0.0683912357439267,0.7043713990035915,-0.7778458252247675,0.6853019214067649,0.117876635324912,1.5735173844295505,0.3698730991397898
160153,7,0.1428571428571428,-1.248511316453952,-0.0683912357439267,0.7043713990035915,-1.6754230543423985,-0.2788753030321275,0.055579883150078,-1.3242815404619297,-0.1332682983487955
161300,0,,,-0.0683912357439267,0.7043713990035915,,0.7069616653544476,,,1.4262886847308758
161301,1,1.0,-0.0666878129365303,-0.0683912357439267,0.7043713990035915,0.0024183588513191,0.4538866296878113,,1.6519013935467708,0.8350659304881737
161302,1,1.0,0.0119145312493544,-0.0683912357439267,0.7043713990035915,0.1140105448728926,1.182248973909403,1.1655943791087229,1.5735173844295505,1.401483523407628
161303,0,,,-0.0683912357439267,0.7043713990035915,,0.6892996977741677,,,1.3579281248653003
161304,0,,,-0.0683912357439267,0.7043713990035915,,1.838859316988074,,,0.2990769549841537
161305,0,,,-0.0683912357439267,0.7043713990035915,,-0.0532663569374909,,,-0.4298505361814291
161306,2,0.5,0.0058598611026187,-0.0683912357439267,0.7043713990035915,0.1054146959282865,1.0338624015576108,,,-0.4977460864519061
161307,1,1.0,0.2870227358999512,-0.0683912357439267,0.7043713990035915,0.5045831959484001,0.6099108508315423,1.422401319449209,,-0.0505455706002548
161308,1,1.0,-0.1059889850294727,-0.0683912357439267,0.7043713990035915,-0.0533777341594676,0.589860653046338,,,0.0949989243916658
161309,0,,,-0.0683912357439267,0.7043713990035915,,0.6748678042432877,,,1.712420141549375
161310,0,,,-0.0683912357439267,0.7043713990035915,,0.5481760259046802,,,1.6024538619651714
161311,1,1.0,-0.4596995338659542,-0.0683912357439267,0.7043713990035915,-0.5555425712565485,0.4701495255085483,,,0.3786746166356459
161312,0,,,-0.0683912357439267,0.7043713990035915,,1.1892954805442184,,,1.535498305102968
161313,0,,,-0.0683912357439267,0.7043713990035915,,-0.310891442581931,,,0.8115857509625176
