PROVIDER_ID,report_indicator,Patient_Experience_cnt,Outcomes_Readmission_cnt,Outcomes_Mortality_cnt,Outcomes_Safety_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,cnt_grp
050133,1,8,11,7,7,10,5,2,3) # of groups=5
050135,1,8,6,6,5,8,5,2,3) # of groups=5
050136,1,8,7,4,3,9,5,2,3) # of groups=5
050137,1,8,1,0,6,4,3,1,1) # of groups=3
050138,1,8,1,1,7,4,3,1,1) # of groups=3
050139,1,8,1,0,7,4,3,1,1) # of groups=3
050140,1,8,2,0,7,4,3,1,1) # of groups=3
050145,1,8,11,7,7,11,5,2,3) # of groups=5
050149,1,8,5,4,7,8,5,2,3) # of groups=5
050150,1,8,9,6,3,10,5,2,3) # of groups=5
050152,1,8,7,3,6,8,5,2,3) # of groups=5
050158,1,8,3,2,3,6,4,1,2) # of groups=4
050159,1,8,9,5,7,8,5,2,3) # of groups=5
050167,1,8,6,5,6,11,5,2,3) # of groups=5
050168,1,8,11,7,7,11,5,2,3) # of groups=5
050169,1,8,11,7,8,10,5,2,3) # of groups=5
050174,1,8,11,7,7,11,5,2,3) # of groups=5
050179,1,8,9,6,7,9,5,2,3) # of groups=5
050180,1,8,10,6,8,9,5,2,3) # of groups=5
050191,1,8,6,6,6,9,5,2,3) # of groups=5
050192,0,8,1,0,1,7,2,0,
050194,1,8,6,4,2,10,4,1,2) # of groups=4
050195,1,8,11,7,7,8,5,2,3) # of groups=5
050197,1,8,8,6,5,8,5,2,3) # of groups=5
050204,1,8,7,6,7,8,5,2,3) # of groups=5
050211,1,8,4,4,5,6,5,2,3) # of groups=5
050222,1,8,11,7,7,9,5,2,3) # of groups=5
050224,1,8,10,7,7,11,5,2,3) # of groups=5
050226,1,8,6,5,5,8,5,2,3) # of groups=5
050228,1,8,9,6,7,8,5,2,3) # of groups=5
050230,1,8,4,3,4,7,5,2,3) # of groups=5
050231,1,8,11,7,7,8,5,2,3) # of groups=5
050232,1,8,9,7,6,11,5,2,3) # of groups=5
050234,1,8,6,3,4,7,5,2,3) # of groups=5
050235,1,8,10,6,8,9,5,2,3) # of groups=5
050236,1,8,8,6,7,9,5,2,3) # of groups=5
050238,1,8,8,6,8,8,5,2,3) # of groups=5
050239,1,8,9,7,7,10,5,2,3) # of groups=5
050242,1,8,11,7,7,9,5,2,3) # of groups=5
